Sl No,Tilt,g,length,Mass Flow Rate,Density,Ta,Ts,Temp Avg,beta,Pr,v,D_Ap,A_Ap,Area_Tube,Conv Loss,Nu_c,h_Con,,
1,0,9.81,0.5,0.3,0.6,300,523,411.5,0.002430134,0.7,0.00004765,0.5,0.19635,3.444845,5675.84,89.27608019,7.388488396,,
2,-15,9.81,0.5,0.3,0.6,300,523,411.5,0.002430134,0.7,0.00004765,0.5,0.19635,3.444845,5894.2,92.71069513,7.672737129,,
3,-30,9.81,0.5,0.3,0.6,300,523,411.5,0.002430134,0.7,0.00004765,0.5,0.19635,3.444845,5718.84,89.95243319,7.444463371,,
4,-45,9.81,0.5,0.3,0.6,300,523,411.5,0.002430134,0.7,0.00004765,0.5,0.19635,3.444845,5405.23,85.0196177,7.036223561,,
5,-60,9.81,0.5,0.3,0.6,300,523,411.5,0.002430134,0.7,0.00004765,0.5,0.19635,3.444845,4939.56,77.69502922,6.430040618,,
6,-75,9.81,0.5,0.3,0.6,300,523,411.5,0.002430134,0.7,0.00004765,0.5,0.19635,3.444845,4274.58,67.23546591,5.564407159,,
7,-90,9.81,0.5,0.3,0.6,300,523,411.5,0.002430134,0.7,0.00004765,0.5,0.19635,3.444845,3631.44,57.11942702,4.72720378,,
8,0,9.81,0.5,0.3,0.6,300,573,436.5,0.002290951,0.7,0.00004765,0.5,0.19635,3.444845,7270.64,93.41569015,7.731082517,,
9,-15,9.81,0.5,0.3,0.6,300,573,436.5,0.002290951,0.7,0.00004765,0.5,0.19635,3.444845,7452.73,95.75524527,7.924704098,,
10,-30,9.81,0.5,0.3,0.6,300,573,436.5,0.002290951,0.7,0.00004765,0.5,0.19635,3.444845,7205.97,92.58478769,7.662317029,,
11,-45,9.81,0.5,0.3,0.6,300,573,436.5,0.002290951,0.7,0.00004765,0.5,0.19635,3.444845,6826.85,87.71372318,7.25918773,,
12,-60,9.81,0.5,0.3,0.6,300,573,436.5,0.002290951,0.7,0.00004765,0.5,0.19635,3.444845,6228.92,80.03131233,6.623391408,,
13,-75,9.81,0.5,0.3,0.6,300,573,436.5,0.002290951,0.7,0.00004765,0.5,0.19635,3.444845,5367.73,68.96644621,5.707663088,,
14,-90,9.81,0.5,0.3,0.6,300,573,436.5,0.002290951,0.7,0.00004765,0.5,0.19635,3.444845,4530.48,58.20916947,4.817390865,,
15,0,9.81,0.5,0.3,0.6,300,623,461.5,0.002166847,0.7,0.00004765,0.5,0.19635,3.444845,8776.1,95.30350502,7.887318075,,
16,-15,9.81,0.5,0.3,0.6,300,623,461.5,0.002166847,0.7,0.00004765,0.5,0.19635,3.444845,8872.55,96.35089772,7.974000295,,
17,-30,9.81,0.5,0.3,0.6,300,623,461.5,0.002166847,0.7,0.00004765,0.5,0.19635,3.444845,8679.75,94.25719826,7.800725728,,
18,-45,9.81,0.5,0.3,0.6,300,623,461.5,0.002166847,0.7,0.00004765,0.5,0.19635,3.444845,8241.5,89.49805,7.406858618,,
19,-60,9.81,0.5,0.3,0.6,300,623,461.5,0.002166847,0.7,0.00004765,0.5,0.19635,3.444845,7513.63,81.59379159,6.752702192,,
20,-75,9.81,0.5,0.3,0.6,300,623,461.5,0.002166847,0.7,0.00004765,0.5,0.19635,3.444845,6452.16,70.06682501,5.798730438,,
21,-90,9.81,0.5,0.3,0.6,300,623,461.5,0.002166847,0.7,0.00004765,0.5,0.19635,3.444845,5441.52,59.0918436,4.890440976,,
22,0,9.81,0.5,0.3,0.6,300,673,486.5,0.002055498,0.7,0.00004765,0.5,0.19635,3.444845,10229.6,96.19658454,7.961229336,,
23,-15,9.81,0.5,0.3,0.6,300,673,486.5,0.002055498,0.7,0.00004765,0.5,0.19635,3.444845,10417.9,97.96731036,8.107774605,,
24,-30,9.81,0.5,0.3,0.6,300,673,486.5,0.002055498,0.7,0.00004765,0.5,0.19635,3.444845,10142,95.37281618,7.893054267,,
25,-45,9.81,0.5,0.3,0.6,300,673,486.5,0.002055498,0.7,0.00004765,0.5,0.19635,3.444845,9640.47,90.65655425,7.502736429,,
26,-60,9.81,0.5,0.3,0.6,300,673,486.5,0.002055498,0.7,0.00004765,0.5,0.19635,3.444845,8782.19,82.58550508,6.8347764,,
27,-75,9.81,0.5,0.3,0.6,300,673,486.5,0.002055498,0.7,0.00004765,0.5,0.19635,3.444845,7532.43,70.83307649,5.86214541,,
28,-90,9.81,0.5,0.3,0.6,300,673,486.5,0.002055498,0.7,0.00004765,0.5,0.19635,3.444845,6353.55,59.74718559,4.944677079,,
29,0,9.81,0.5,0.3,0.6,300,723,511.5,0.001955034,0.7,0.00004765,0.5,0.19635,3.444845,11739.7,97.34787233,8.056509914,,
30,-15,9.81,0.5,0.3,0.6,300,723,511.5,0.001955034,0.7,0.00004765,0.5,0.19635,3.444845,12089.4,100.2476526,8.296495733,,
31,-30,9.81,0.5,0.3,0.6,300,723,511.5,0.001955034,0.7,0.00004765,0.5,0.19635,3.444845,11589,96.09823867,7.953090232,,
32,-45,9.81,0.5,0.3,0.6,300,723,511.5,0.001955034,0.7,0.00004765,0.5,0.19635,3.444845,11018.1,91.36422499,7.561303261,,
33,-60,9.81,0.5,0.3,0.6,300,723,511.5,0.001955034,0.7,0.00004765,0.5,0.19635,3.444845,10011.2,83.01481465,6.87030606,,
34,-75,9.81,0.5,0.3,0.6,300,723,511.5,0.001955034,0.7,0.00004765,0.5,0.19635,3.444845,8564.32,71.01700469,5.877367308,,
35,-90,9.81,0.5,0.3,0.6,300,723,511.5,0.001955034,0.7,0.00004765,0.5,0.19635,3.444845,7222.07,59.88680702,4.956232149,,
36,0,9.81,0.5,0.3,0.6,300,773,536.5,0.001863933,0.7,0.00004765,0.5,0.19635,3.444845,13183.8,97.76632661,8.09114119,,
37,-15,9.81,0.5,0.3,0.6,300,773,536.5,0.001863933,0.7,0.00004765,0.5,0.19635,3.444845,13586.5,100.7526052,8.338285606,,
38,-30,9.81,0.5,0.3,0.6,300,773,536.5,0.001863933,0.7,0.00004765,0.5,0.19635,3.444845,13010.9,96.48416229,7.985029271,,
39,-45,9.81,0.5,0.3,0.6,300,773,536.5,0.001863933,0.7,0.00004765,0.5,0.19635,3.444845,12364.8,91.6929167,7.588505786,,
40,-60,9.81,0.5,0.3,0.6,300,773,536.5,0.001863933,0.7,0.00004765,0.5,0.19635,3.444845,11235,83.31472561,6.895126691,,
41,-75,9.81,0.5,0.3,0.6,300,773,536.5,0.001863933,0.7,0.00004765,0.5,0.19635,3.444845,9564.37,70.92593343,5.869830251,,
42,-90,9.81,0.5,0.3,0.6,300,773,536.5,0.001863933,0.7,0.00004765,0.5,0.19635,3.444845,8122.27,60.23183768,4.984786886,,
